sample_id,run_index,json_ok,risk_level,risk_score,threat_ids,reason,raw
C,1,1,High,8,11111111-1111-4111-8111-000000000032|11111111-1111-4111-8111-000000000034|11111111-1111-4111-8111-000000000036,訊息中要求立即協助匯款，並提到董事會已口頭批准，顯示出急迫性; 提及供應商若不匯款將取消合作，施加壓力; 內容中提到的金額及匯款細節未經正式簽呈，存在風險; 對方在機場轉機，可能影響其決策能力，增加社交工程風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-000000000032"", ""11111111-1111-4111-8111-000000000034"", ""11111111-1111-4111-8111-000000000036""],
  ""reason"": ""訊息中要求立即協助匯款，並提到董事會已口頭批准，顯示出急迫性; 提及供應商若不匯款將取消合作，施加壓力; 內容中提到的金額及匯款細節未經正式簽呈，存在風險; 對方在機場轉機，可能影響其決策能力，增加社交工程風險。""
}"
C,2,1,High,8,11111111-1111-4111-8111-000000000032|11111111-1111-4111-8111-000000000034|11111111-1111-4111-8111-000000000036|11111111-1111-4111-8111-00000000003a,"訊息中要求立即協助匯款，且提到董事會已口頭過，顯示出急迫性；對方在質疑後仍持續施壓，要求在未收到正式簽呈的情況下進行匯款；提到若不匯款將取消合作，增加了壓力；匯款金額高達 EUR 387,420，超過一般授權金額，存在資金誘導風險。","{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-000000000032"", ""11111111-1111-4111-8111-000000000034"", ""11111111-1111-4111-8111-000000000036"", ""11111111-1111-4111-8111-00000000003a""],
  ""reason"": ""訊息中要求立即協助匯款，且提到董事會已口頭過，顯示出急迫性；對方在質疑後仍持續施壓，要求在未收到正式簽呈的情況下進行匯款；提到若不匯款將取消合作，增加了壓力；匯款金額高達 EUR 387,420，超過一般授權金額，存在資金誘導風險。""
}"
C,3,1,High,8,11111111-1111-4111-8111-000000000032|11111111-1111-4111-8111-000000000034|11111111-1111-4111-8111-000000000036,訊息中要求立即協助匯款，且提及董事會已口頭過；對方在質疑後仍持續施壓，並強調匯款的緊急性；提到若不匯款將影響合作，這種施壓行為具有釣魚特徵。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-000000000032"", ""11111111-1111-4111-8111-000000000034"", ""11111111-1111-4111-8111-000000000036""],
  ""reason"": ""訊息中要求立即協助匯款，且提及董事會已口頭過；對方在質疑後仍持續施壓，並強調匯款的緊急性；提到若不匯款將影響合作，這種施壓行為具有釣魚特徵。""
}"
C,4,1,High,8,11111111-1111-4111-8111-000000000032|11111111-1111-4111-8111-000000000034|11111111-1111-4111-8111-000000000036|11111111-1111-4111-8111-00000000003a,訊息中要求立即協助供應商匯款，並提到董事會已口頭過；對方在質疑後仍持續施壓，強調匯款的緊急性；提及若不匯款將影響合作，這種施壓行為具有釣魚特徵；訊息中包含不一致的公司名稱，可能暗示身份假冒的風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-000000000032"", ""11111111-1111-4111-8111-000000000034"", ""11111111-1111-4111-8111-000000000036"", ""11111111-1111-4111-8111-00000000003a""],
  ""reason"": ""訊息中要求立即協助供應商匯款，並提到董事會已口頭過；對方在質疑後仍持續施壓，強調匯款的緊急性；提及若不匯款將影響合作，這種施壓行為具有釣魚特徵；訊息中包含不一致的公司名稱，可能暗示身份假冒的風險。""
}"
C,5,1,High,8,11111111-1111-4111-8111-000000000032|11111111-1111-4111-8111-000000000034|11111111-1111-4111-8111-000000000036,訊息中提到需要立即協助供應商匯款，且強調董事會已口頭過；對方在轉機中施壓，要求快速處理匯款；提到若不匯款將取消合作，造成緊迫感，可能誘導不當行為。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-000000000032"", ""11111111-1111-4111-8111-000000000034"", ""11111111-1111-4111-8111-000000000036""],
  ""reason"": ""訊息中提到需要立即協助供應商匯款，且強調董事會已口頭過；對方在轉機中施壓，要求快速處理匯款；提到若不匯款將取消合作，造成緊迫感，可能誘導不當行為。""
}"
D,1,1,High,8,d0000000-0000-4000-8000-000000000001|d0000000-0000-4000-8000-000000000003|d0000000-0000-4000-8000-000000000005,訊息中要求使用者在特定時間前重新驗證帳號並提供連結; 提供的連結並非公司官方網域，存在釣魚風險; 對方施加時間壓力，威脅未驗證將影響薪資入帳，增加使用者的焦慮感。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""d0000000-0000-4000-8000-000000000001"", ""d0000000-0000-4000-8000-000000000003"", ""d0000000-0000-4000-8000-000000000005""],
  ""reason"": ""訊息中要求使用者在特定時間前重新驗證帳號並提供連結; 提供的連結並非公司官方網域，存在釣魚風險; 對方施加時間壓力，威脅未驗證將影響薪資入帳，增加使用者的焦慮感。""
}"
D,2,1,High,8,d0000000-0000-4000-8000-000000000001|d0000000-0000-4000-8000-000000000003|d0000000-0000-4000-8000-000000000005,訊息要求使用者在特定時間內重新驗證帳號，並提供不明連結; 連結並非公司網域，存在釣魚風險; 對方施加時間壓力，威脅薪資凍結以促使行動。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""d0000000-0000-4000-8000-000000000001"", ""d0000000-0000-4000-8000-000000000003"", ""d0000000-0000-4000-8000-000000000005""],
  ""reason"": ""訊息要求使用者在特定時間內重新驗證帳號，並提供不明連結; 連結並非公司網域，存在釣魚風險; 對方施加時間壓力，威脅薪資凍結以促使行動。""
}"
D,3,1,High,8,d0000000-0000-4000-8000-000000000001|d0000000-0000-4000-8000-000000000003|d0000000-0000-4000-8000-000000000005,訊息中要求用戶在特定時間前重新驗證帳號; 提供的連結並非公司官方網域，存在釣魚風險; 對方施加時間壓力，威脅未驗證將影響薪資入帳。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [
    ""d0000000-0000-4000-8000-000000000001"",
    ""d0000000-0000-4000-8000-000000000003"",
    ""d0000000-0000-4000-8000-000000000005""
  ],
  ""reason"": ""訊息中要求用戶在特定時間前重新驗證帳號; 提供的連結並非公司官方網域，存在釣魚風險; 對方施加時間壓力，威脅未驗證將影響薪資入帳。""
}"
D,4,1,High,8,d0000000-0000-4000-8000-000000000001|d0000000-0000-4000-8000-000000000003|d0000000-0000-4000-8000-000000000005,訊息中要求使用者在特定時間內重新驗證帳號，並提供可疑的連結; 連結並非公司官方網域，顯示出釣魚的風險; 對方施加時間壓力，威脅若不行動將影響薪資入帳，這是典型的社交工程手法。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""d0000000-0000-4000-8000-000000000001"", ""d0000000-0000-4000-8000-000000000003"", ""d0000000-0000-4000-8000-000000000005""],
  ""reason"": ""訊息中要求使用者在特定時間內重新驗證帳號，並提供可疑的連結; 連結並非公司官方網域，顯示出釣魚的風險; 對方施加時間壓力，威脅若不行動將影響薪資入帳，這是典型的社交工程手法。""
}"
D,5,1,High,8,d0000000-0000-4000-8000-000000000001|d0000000-0000-4000-8000-000000000003|d0000000-0000-4000-8000-000000000005,訊息中要求使用者在特定時間前重新驗證帳號; 提供的連結並非公司官方網域，存在釣魚風險; 施加時間壓力，威脅未驗證將影響薪資入帳，增加使用者的焦慮與行動意願。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""d0000000-0000-4000-8000-000000000001"", ""d0000000-0000-4000-8000-000000000003"", ""d0000000-0000-4000-8000-000000000005""],
  ""reason"": ""訊息中要求使用者在特定時間前重新驗證帳號; 提供的連結並非公司官方網域，存在釣魚風險; 施加時間壓力，威脅未驗證將影響薪資入帳，增加使用者的焦慮與行動意願。""
}"
E,1,1,High,8,e0000000-0000-4000-8000-000000000003,訊息中提到銀行帳戶變更，並要求立即匯款至新帳戶；對方在明確拒絕後仍持續施壓要求付款；提及 CFO 需要立即付款以釋放下一批貨物，增加了時間壓力；這些行為符合釣魚或社交工程的特徵，可能存在資金誘導的風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""e0000000-0000-4000-8000-000000000003""],
  ""reason"": ""訊息中提到銀行帳戶變更，並要求立即匯款至新帳戶；對方在明確拒絕後仍持續施壓要求付款；提及 CFO 需要立即付款以釋放下一批貨物，增加了時間壓力；這些行為符合釣魚或社交工程的特徵，可能存在資金誘導的風險。""
}"
E,2,1,High,8,e0000000-0000-4000-8000-000000000003,訊息中提到銀行帳戶變更，並要求立即匯款至新帳戶; 對方持續施壓要求加快付款，並提到 CFO 的需求; 變更銀行帳戶的請求未經正式程序，存在詐騙風險; 對方在被質疑後仍未提供足夠的證據或文件支持其要求。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""e0000000-0000-4000-8000-000000000003""],
  ""reason"": ""訊息中提到銀行帳戶變更，並要求立即匯款至新帳戶; 對方持續施壓要求加快付款，並提到 CFO 的需求; 變更銀行帳戶的請求未經正式程序，存在詐騙風險; 對方在被質疑後仍未提供足夠的證據或文件支持其要求。""
}"
E,3,1,High,8,e0000000-0000-4000-8000-000000000003|e0000000-0000-4000-8000-000000000005,訊息中提到銀行帳戶變更，可能涉及詐騙風險；對方要求立即付款，施加時間壓力；雖然對方已經被拒絕，但仍持續施壓要求付款；涉及金額較大，可能引起注意；整體溝通中有不尋常的急迫性。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""e0000000-0000-4000-8000-000000000003"", ""e0000000-0000-4000-8000-000000000005""],
  ""reason"": ""訊息中提到銀行帳戶變更，可能涉及詐騙風險；對方要求立即付款，施加時間壓力；雖然對方已經被拒絕，但仍持續施壓要求付款；涉及金額較大，可能引起注意；整體溝通中有不尋常的急迫性。""
}"
E,4,1,High,8,e0000000-0000-4000-8000-000000000003,對方要求變更收款銀行帳戶，並強調急需付款以釋放下一批貨物；此行為具有明顯的資金誘導風險；雖然對方已被拒絕，但仍持續施壓要求付款。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""e0000000-0000-4000-8000-000000000003""],
  ""reason"": ""對方要求變更收款銀行帳戶，並強調急需付款以釋放下一批貨物；此行為具有明顯的資金誘導風險；雖然對方已被拒絕，但仍持續施壓要求付款。""
}"
E,5,1,High,8,e0000000-0000-4000-8000-000000000003,訊息中提到銀行帳戶變更，要求立即匯款至新帳戶；對方在明確拒絕後仍持續施壓，要求加快付款；涉及金額較大，可能存在資金誘導風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""e0000000-0000-4000-8000-000000000003""],
  ""reason"": ""訊息中提到銀行帳戶變更，要求立即匯款至新帳戶；對方在明確拒絕後仍持續施壓，要求加快付款；涉及金額較大，可能存在資金誘導風險。""
}"
F,1,1,Minimal,0,,此對話為日常工作溝通; 內容涉及會議室設備的借用; 兩位同事之間的互動正常且友好; 無任何社交工程的跡象或異常行為; 無資金或憑證的誘導或要求。,"{
  ""risk_level"": ""Minimal"",
  ""risk_score"": 0,
  ""threat_message_ids"": [],
  ""reason"": ""此對話為日常工作溝通; 內容涉及會議室設備的借用; 兩位同事之間的互動正常且友好; 無任何社交工程的跡象或異常行為; 無資金或憑證的誘導或要求。""
}"
F,2,1,Minimal,0,,此對話為日常工作溝通; 內容涉及會議室設備的借用; 兩位同事之間的互動正常且友好; 無任何社交工程的跡象或異常行為; 無誘導或施壓的情況發生。,"{
  ""risk_level"": ""Minimal"",
  ""risk_score"": 0,
  ""threat_message_ids"": [],
  ""reason"": ""此對話為日常工作溝通; 內容涉及會議室設備的借用; 兩位同事之間的互動正常且友好; 無任何社交工程的跡象或異常行為; 無誘導或施壓的情況發生。""
}"
F,3,1,Minimal,0,,此對話為日常工作溝通; 內容涉及會議所需設備的借用; 無任何社交工程的誘導或施壓; 參與者之間的互動正常且友好; 無可疑的連結或要求出現。,"{
  ""risk_level"": ""Minimal"",
  ""risk_score"": 0,
  ""threat_message_ids"": [],
  ""reason"": ""此對話為日常工作溝通; 內容涉及會議所需設備的借用; 無任何社交工程的誘導或施壓; 參與者之間的互動正常且友好; 無可疑的連結或要求出現。""
}"
F,4,1,Minimal,0,,此對話為日常工作溝通; 內容涉及會議所需設備的借用; 兩位同事之間互相協助; 無任何社交工程或詐騙跡象; 整體對話正常且無異常施壓。,"{
  ""risk_level"": ""Minimal"",
  ""risk_score"": 0,
  ""threat_message_ids"": [],
  ""reason"": ""此對話為日常工作溝通; 內容涉及會議所需設備的借用; 兩位同事之間互相協助; 無任何社交工程或詐騙跡象; 整體對話正常且無異常施壓。""
}"
F,5,1,Minimal,0,,純日常工作溝通; 討論會議室設備的借用; 無任何社交工程跡象; 內容為正常的工作協調; 無異常施壓或可疑行為。,"{
  ""risk_level"": ""Minimal"",
  ""risk_score"": 0,
  ""threat_message_ids"": [],
  ""reason"": ""純日常工作溝通; 討論會議室設備的借用; 無任何社交工程跡象; 內容為正常的工作協調; 無異常施壓或可疑行為。""
}"
